Reporting Period,Metric Area,Metric,Value,Unit/Breakdown,Leadership Context,Source Slide,Source Deck
March,Linear,Longform registrations,16,assets,Media-type mix for linear registrations.,8,April - Fulfillment  - Official.pptx
March,Linear,Shortform registrations,"2,056",assets,Media-type mix for linear registrations.,8,April - Fulfillment  - Official.pptx
March,Linear,Graphics registrations,164,assets,Media-type mix for linear registrations.,8,April - Fulfillment  - Official.pptx
March,Linear,NBCU to Versant transfer count,520,assets,Volume moved into Versant workflows.,8,April - Fulfillment  - Official.pptx
March,Linear,NBCU to Versant transfer size,8.02 TB,data volume,Storage/network footprint for transferred assets.,8,April - Fulfillment  - Official.pptx
March,iComm,TVN | Akamai,112,deliveries,iComm delivery channel breakdown.,8,April - Fulfillment  - Official.pptx
March,iComm,STB VOD DAI | CMC,10,deliveries,iComm delivery channel breakdown.,8,April - Fulfillment  - Official.pptx
March,TVE/VOD,Longform deliveries through FP,"2,519",deliveries,Fulfillment Pipeline longform throughput.,8,April - Fulfillment  - Official.pptx
March,TVE/VOD,Titles delivered,228,titles,Title delivery volume.,8,April - Fulfillment  - Official.pptx
March,Digital,Shortform clips ingested and published,"1,885",clips,Digital publishing throughput.,8,April - Fulfillment  - Official.pptx
December,iComm,Akamai,112,registrations,iComm registration channel breakdown.,8,April - Fulfillment  - Official.pptx
December,iComm,CMC,10,registrations,iComm registration channel breakdown.,8,April - Fulfillment  - Official.pptx
December,Registrations,Total asset registrations,"2,550",registrations,Appendix benchmark from registration charts.,10,April - Fulfillment  - Official.pptx
December,Registrations,Longform share,3.5%,share,Appendix media-type share.,10,April - Fulfillment  - Official.pptx
December,Registrations,Shortform share,90.6%,share,Appendix media-type share.,10,April - Fulfillment  - Official.pptx
December,Registrations,Graphics share,5.8%,share,Appendix media-type share.,10,April - Fulfillment  - Official.pptx
December,Registrations,Total asset registrations,"2,589",registrations,Appendix benchmark from registration charts.,12,April - Fulfillment  - Official.pptx
December,Registrations,Longform share,0.7%,share,Appendix media-type share.,12,April - Fulfillment  - Official.pptx
December,Registrations,Shortform share,90.7%,share,Appendix media-type share.,12,April - Fulfillment  - Official.pptx
December,Registrations,Graphics share,8.3%,share,Appendix media-type share.,12,April - Fulfillment  - Official.pptx
December,DIVA Transfer,Individual asset files received,2K,files,DIVA transfer operating volume.,12,April - Fulfillment  - Official.pptx
December,DIVA Transfer,Total data volume,32 TB,data volume,DIVA storage/network footprint.,12,April - Fulfillment  - Official.pptx
December,iComm,Akamai,133,registrations,iComm registration channel breakdown.,12,April - Fulfillment  - Official.pptx
December,iComm,CMC,45,registrations,iComm registration channel breakdown.,12,April - Fulfillment  - Official.pptx
March,Linear,Net New Deliveries to Amagi,2236,deliveries,Topline linear delivery volume.,17,April - Fulfillment  - Official.pptx
December,Registrations,Total asset registrations,"2,589",registrations,Appendix benchmark from registration charts.,21,April - Fulfillment  - Official.pptx
December,Registrations,Longform share,0.7%,share,Appendix media-type share.,21,April - Fulfillment  - Official.pptx
December,Registrations,Shortform share,90.7%,share,Appendix media-type share.,21,April - Fulfillment  - Official.pptx
December,Registrations,Graphics share,8.3%,share,Appendix media-type share.,21,April - Fulfillment  - Official.pptx
December,iComm,Akamai,133,registrations,iComm registration channel breakdown.,21,April - Fulfillment  - Official.pptx
December,iComm,CMC,45,registrations,iComm registration channel breakdown.,21,April - Fulfillment  - Official.pptx
