Reporting Week,Workstream,Project,Status,Owner,Target Date,This Week Update,Next Milestone,Business Impact,Blocker or Risk,Leadership Ask,Help Needed,Jira Key/Epic,Jira URL,Source Slide,Source Deck,Last Updated
2026-04-29,TLVOD/Fulfillment Pipeline,TLVOD-VTM Integration | Week of 3/15 | Reza,Completed,Reza,Week of 3/15,"Real-time testing with SQE, Dev, Product during week of 2/23 passed New Title Create in TLVOD but failed Existing Title Update Dev work to fix Existing Title Update in review as of 2/27 Tracking positively to re-test and deploy week of 3/2 Fast follow update to expand Genre matching possible for week of 3/9",Week of 3/15 | Reza,"Improves title metadata flow, reducing manual entry and improving scheduling/financial processing accuracy.",,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,TLVOD/Fulfillment Pipeline,TLVOD Cyber Security Remediations | Week of 4/16 | Reza,On Track,Reza,Week of 4/16,Currently working through complex dependencies,Week of 4/16 | Reza,Reduces security exposure and keeps fulfillment platforms aligned with required remediation timelines.,Currently working through complex dependencies,Review,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,TLVOD/Fulfillment Pipeline,TLVOD MSNOW Changes | Week of 3/6 | Reza,Completed,Reza,Week of 3/6,Currently investigating expanded ETL solution for handling MS NOW External Advertiser ID field,Week of 3/6 | Reza,,,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,OTTO/Media Broker,Versant Content Dataforge - 5/15 | Tanvi,On Track,Tanvi,5/15,"The cloud setup and development are currently in progress, and Ed is targeting completion by the end of week 4/24 We need to get APIs tested and based on when it is ready we need an additional week for testing",5/15 | Tanvi,Enables Versant content data enrichment and production migration work.,"The cloud setup and development are currently in progress, and Ed is targeting completion by the end of week 4/24 We need to get APIs tested and based on when it is ready we need an additional week for testing",Yes,Clarify owner/action in weekly review.,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,OTTO/Media Broker,Show Rundown Reports Automation for Golf and News - 4/2,On Track,,4/2,Golf reporting automation capability is ready to be released in Production Workaround: Report can be pulled ad-hoc via OTTO UI,4/2,,,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,TLVOD/Fulfillment Pipeline,TLVOD-VTM Title API integration | 5/1 | Reza,On Track,Reza,5/1,Build TLVOD API to call VTM for missing titles,5/1 | Reza,"Improves title metadata flow, reducing manual entry and improving scheduling/financial processing accuracy.",,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,TLVOD/Fulfillment Pipeline,FP E2E Build | 5/1 | Reza,On Track,Reza,5/1,Build E2E environment for FP,5/1 | Reza,,,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,TLVOD/Fulfillment Pipeline,FP Cyber Security Remediations | 4/16 | Reza,On Track,Reza,4/16,"Uncovered underlying Java 17 dependencies, extending timeline to address Uncovered dependency on library that is currently not available in Nexus, awaiting resolution",4/16 | Reza,Reduces security exposure and keeps fulfillment platforms aligned with required remediation timelines.,"Uncovered underlying Java 17 dependencies, extending timeline to address Uncovered dependency on library that is currently not available in Nexus, awaiting resolution",Yes,Clarify owner/action in weekly review.,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP SSO Migration | TBD | Chris H,On Track,Chris H,TBD,"Working with Katie Mcbee and Golf team to figure out next steps for contracted editors. Requested another pull of users for our accounts to verify no missing users. Sending out alert emails starting week of 27th On track, No risks outlined",TBD | Chris H,Protects user access controls for internal and contracted editor workflows.,,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP End Security End Of Life Notification | Chris H,On Track,Chris H,,Verified with all effected end point users that changes are either being made currently or ready for testing as of May 1st.,,Reduces security exposure and keeps fulfillment platforms aligned with required remediation timelines.,,No,,,,3,April - Fulfillment  - Official.pptx,2026-04-29
