Reporting Week,Category,Highlight,Business Context,Impact/Volume,Timing,Leadership Note,Source Slide,Source Deck
2026-04-29,Sports/Event Volume,Future USA Sports Short Form Clipping,Estimated numbers of between 300-500 assets a month will be clipped and delivered with USA Sports CVP account.,300-500 assets,,,6,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,Golf Channel Live Events In May,May 3 - Cadillac Championship (PGA Tour) / Mexico Riviera Maya Open (LPGA) May 10 - Wells Fargo Championship (PGA Tour) / Mizuho Americas Open (LPGA) May 17 - AT&T Byron Nelson (PGA Tour) / PGA Championship / Founders Cup (LPGA) May 24 - Charles Schwab Challenge (PGA Tour) / Bank of Hope LPGA Match Play May 31 - Memorial Tournament (PGA Tour),3; 10; 17; 24,May 3; May 10; May 17; May 24,,6,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,USA Sports NASCAR Coverage in May,May 3 - Texas May 10 - Watkins Glen May 17 - All-Star Race (non-points) May 24 - Coca-Cola 600 (Charlotte) May 31 - Nashville,3; 10; 17; 24,May 3; May 10; May 17; May 24,,6,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,WNBA Basketball Regular Season Games,"Sunday, May 10 (season debut on USA) Las Vegas Aces @ Los Angeles Sparks - 6:00 PM ET Wednesday, May 13 (doubleheader) Las Vegas Aces @ Connecticut Sun - 8:00 PM ET Indiana Fever @ Los Angeles Sparks - 10:30 PM ET",10; 6; 00 PM ET; 13,"Sunday, May 10; Wednesday, May 13",,6,April - Fulfillment  - Official.pptx
2026-04-29,Workflow Efficiency,TLVOD-VTM integration,"Implemented an automated integration between VTM and TLVOD to streamline the flow of title metadata, reducing manual data entry, minimizing errors, and enabling faster, more accurate scheduling and financial processing for programming teams.",,,,7,April - Fulfillment  - Official.pptx
2026-04-29,Operational Readiness,Adobe Premiere Support Sessions,"Adobe Premiere has been selected as the QC tool for the Fulfillment Modernization project. Weekly sessions with TMT, SDVI, and Operators provide a forum to address workflow, tool questions, and gather direct feedback. Post-Engineering is also exploring the addition of Premiere plugins to enhance QC capabilities.",,,,7,April - Fulfillment  - Official.pptx
2026-04-29,Modernization,Modernization Stakeholders,"Team Leads from all Fulfillment stakeholder teams are involved in requirements gathering and system design for the new fulfillment platform on an ongoing basis They are invaluable resources in guiding our design and development process, helping us truly build a better mousetrap",,,,7,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,Future USA Sports Short Form Clipping,"Versant Media will broadcast over 10,000 hours of live sports, featuring a massive expansion in college sports, women's professional leagues, and various motorsport/golf events. Key highlights include extensive Pac-12 football and basketball, League One Volleyball, WNBA games, and continued coverage of NASCAR and PGA Tour.","over 10,000 hours; 12",,,15,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,Golf Channel Live Events In April,Augusta National Women's Amateur - April 1-4 Valero Texas Open - April 2-5 The Masters (Live From coverage) - April 9-12 RBC Heritage - April 16-19 Zurich Classic of New Orleans - April 23-26,1-4; 2-5; 9-12; 16-19,April 1-4; April 2-5; April 9-12; April 16-19,,15,April - Fulfillment  - Official.pptx
2026-04-29,Sports/Event Volume,Major Upcoming Live Events & Coverage USA Sports (2026+),"USA Sports Pac-12 Events (2026-2030): 22 football games, 50 men's basketball games, plus women's basketball. League One Volleyball (LOVB) (2026): Weekly Wednesday Match of the Week + Championship match. WNBA (2026): 50 regular-season games + select playoffs to covered on USA Sports. NASCAR & PGA Tour (2026): Ongoing race and golf coverage across USA Network, Golf Channel, and CNBC. Atlantic 10 Basketball (2026): New men's basketball coverage.",12 Events; 2026-2030; 22 football games; 50,2026-2030; 2026; 2026; 2026,,15,April - Fulfillment  - Official.pptx
2026-04-29,Workflow Efficiency,ENT Archive Subclipping Screeners,"Implemented an automated integration between VTM and TLVOD to streamline the flow of title metadata, reducing manual data entry, minimizing errors, and enabling faster, more accurate scheduling and financial processing for programming teams.",,,,16,April - Fulfillment  - Official.pptx
2026-04-29,Operational Readiness,Adobe Premiere Support Sessions,"Adobe Premiere has been selected as the QC tool for the Fulfillment Modernization project. Weekly sessions with TMT, SDVI, and Operators provide a forum to address workflow, tool questions, and gather direct feedback. Post-Engineering is also exploring the addition of Premiere plugins to enhance QC capabilities.",,,,16,April - Fulfillment  - Official.pptx
2026-04-29,Modernization,Modernization Stakeholders,"Team Leads from all Fulfillment stakeholder teams are involved in requirements gathering and system design for the new fulfillment platform on an ongoing basis. They are invaluable resources in guiding our design and development process, helping us truly build a better mousetrap.",,,,16,April - Fulfillment  - Official.pptx
2026-04-29,Operational Readiness,Smart Device Daily Briefing Skills,"Adobe Premiere has been selected as the QC tool for the Fulfillment Modernization project. Weekly sessions with TMT, SDVI, and Operators provide a forum to address workflow, tool questions, and gather direct feedback. Post-Engineering is also exploring the addition of Premiere plugins to enhance QC capabilities.",,,,16,April - Fulfillment  - Official.pptx
